City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,usogorsk,63.4106,48.6872,-28.52,100,98,0.47,RU,1707252176
1,puerto natales,-51.7236,-72.4875,18.25,42,100,4.12,CL,1707252130
2,kuqa,41.7278,82.9364,-3.93,71,38,1.53,CN,1707252445
3,udachny,66.4167,112.4,-29.2,82,95,1.89,RU,1707252158
4,uturoa,-16.7333,-151.4333,28.06,85,100,12.13,PF,1707252140
5,grytviken,-54.2811,-36.5092,9.82,57,2,1.92,GS,1707252129
6,tazovsky,67.4667,78.7,-14.85,97,98,3.82,RU,1707252148
7,port-aux-francais,-49.35,70.2167,6.05,90,100,11.14,TF,1707252127
8,tanout,14.9709,8.8879,18.05,16,9,6.28,NE,1707252446
9,yola,9.2,12.4833,25.7,16,100,1.88,NG,1707252446
10,shelby,35.2001,-89.8668,16.29,39,0,2.24,US,1707252446
11,midvagur,62.0511,-7.1939,-1.54,69,75,4.63,FO,1707252446
12,ushuaia,-54.8,-68.3,18.79,36,0,1.54,AR,1707252446
13,chonchi,-42.6128,-73.8092,17.84,86,100,4.73,CL,1707252446
14,xanthi,41.1414,24.8836,11.56,60,37,0.86,GR,1707252447
15,fort st. john,56.2499,-120.8529,-8.06,79,75,4.63,CA,1707252307
16,peterhead,57.5058,-1.7981,2.22,60,81,8.37,GB,1707252447
17,invercargill,-46.4,168.35,15.01,84,64,4.02,NZ,1707252447
18,bilibino,68.0546,166.4372,-35.6,100,100,0.68,RU,1707252447
19,vorgashor,67.5833,63.95,-24.91,98,97,1.7,RU,1707252448
20,seaside,36.6111,-121.8516,14.95,77,40,3.09,US,1707252442
21,yellowknife,62.456,-114.3525,-17.55,83,100,5.66,CA,1707252448
22,chulakkurgan,43.765,69.1814,7.6,51,100,13.16,KZ,1707252448
23,tazacorte,28.629,-17.9293,19.54,46,0,2.68,ES,1707252167
24,hawaiian paradise park,19.5933,-154.9731,23.91,77,100,2.57,US,1707252449
25,haiku-pauwela,20.9219,-156.3051,25.7,63,20,9.26,US,1707252449
26,edinburgh of the seven seas,-37.0676,-12.3116,17.1,68,39,3.7,SH,1707252449
27,antofagasta,-23.65,-70.4,26.6,70,5,3.12,CL,1707252364
28,rongelap,11.1635,166.8941,26.54,80,99,6.45,MH,1707252164
29,gadzhiyevo,69.2551,33.3362,-18.04,99,97,5.07,RU,1707252449
30,adamstown,-25.066,-130.1015,24.98,80,31,1.7,PN,1707252128
